Jobblue-collar,Jobstudent,Jobtechnician,Jobadmin.,Jobservices,Jobself-employed,Jobretired,Jobhousemaid,Jobentrepreneur,Jobunemployed,Maritalmarried,Maritaldivorced,Educationprimary,Educationsecondary,Communicationcellular,Outcomefailure,Outcomeother,Outcomesuccess,Default1,HHInsurance0,CarLoan1,Age,Balance,NoOfContacts,DaysPassed,PrevAttempts,CallDuration,CarInsurance_Target
0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,41,8491,1,-1,0,929,1
0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,51,423,5,183,2,84,0
0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,55,0,2,91,1,134,1
0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,34,790,2,350,1,579,0
0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,40,341,5,-1,0,1142,1
0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,31,582,2,-1,0,548,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,32,623,3,194,2,335,1
0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,37,1045,1,-1,0,301,0
0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,31,0,2,-1,0,224,0
0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,56,281,2,-1,0,96,1
1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,26,-295,1,-1,0,138,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,45,160,2,194,1,182,1
0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,32,134,3,-1,0,532,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,41,472,1,-1,0,783,0
1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,42,0,2,-1,0,82,0
0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,55,0,1,370,1,616,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,26,641,1,368,1,55,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,29,3041,3,-1,0,606,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,40,502,4,270,3,267,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,29,2531,1,-1,0,634,1
0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,33,218,1,161,4,162,0
0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,31,-119,5,-1,0,9,0
0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,40,70,1,-1,0,57,0
0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,58,3735,2,-1,0,91,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,41,8553,12,-1,0,304,0
0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,40,84,3,-1,0,119,0
0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,59,3400,3,-1,0,515,1
1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,48,1730,1,178,2,489,1
0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,46,6993,3,148,1,326,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,48,-547,2,-1,0,275,0
0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,33,891,2,-1,0,398,1
0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,24,2696,2,-1,0,107,0
1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,58,0,25,-1,0,5,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,46,-130,2,-1,0,144,1
1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,43,184,11,-1,0,1019,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,35,1830,2,-1,0,166,0
0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,48,480,1,-1,0,371,0
1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,41,720,1,-1,0,651,1
0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,34,-33,1,-1,0,961,1
0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,32,762,11,-1,0,187,1
0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,44,742,5,-1,0,77,0
0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,66,0,1,-1,0,751,1
1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,61,5,2,94,3,562,1
0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,54,440,1,-1,0,89,0
0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,48,201,2,92,2,406,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,44,1090,4,532,2,204,1
0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,50,-584,2,-1,0,75,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,34,697,1,-1,0,166,0
0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,50,120,1,-1,0,99,0
1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,34,1,1,-1,0,394,0
1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,29,76,3,-1,0,198,0
0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,46,-333,2,-1,0,597,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,33,87,1,-1,0,978,1
0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,60,514,2,213,10,187,1
1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,45,0,2,-1,0,215,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,31,4951,3,81,3,285,1
0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,47,1160,2,221,4,117,0
0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,39,0,3,-1,0,70,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,32,799,6,-1,0,2078,1
0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,52,105,1,-1,0,96,0
1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,37,903,1,-1,0,124,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,34,64,2,-1,0,76,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,25,42,1,94,1,149,1
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,25,220,1,-1,0,68,0
0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,23,279,1,370,1,843,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,35,0,2,-1,0,436,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,30,2344,2,92,3,316,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,35,8,3,-1,0,93,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,37,3737,1,-1,0,224,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,35,147,2,-1,0,134,0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,30,1779,1,433,1,233,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,32,933,4,307,1,147,0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,19,394,3,-1,0,327,1
0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,58,1227,1,-1,0,277,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,29,805,1,-1,0,70,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,40,0,1,-1,0,279,0
0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,31,46,6,-1,0,313,0
0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,47,555,1,-1,0,478,1
0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,59,1,1,253,5,602,1
1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,42,3,1,190,1,47,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,59,17056,2,-1,0,470,0
0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,38,1255,1,170,4,120,0
0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,33,386,1,92,4,253,1
0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,31,94,2,-1,0,579,1
